30: Number of weighted directed graphs with negative weights.

** G0: |V|=7
(u, v, weight) E = { 
      ( 5,  2, -1.0)
      ( 1,  5, 4.0)
      ( 2,  1, -2.0)
      ( 2,  4, -3.0)
      ( 2,  6, 2.0)
      ( 3,  2, 1.0)
      ( 3,  4, -2.0)
      ( 4,  0, 3.0)
      ( 4,  6, 3.0)
      ( 0,  1, -2.0)
      ( 0,  3, 1.0) } |E|=11
---------------- 

** G1: |V|=7
(u, v, weight) E = {  
      ( 5,  2, -3.0) 
      ( 1,  5, 4.0)
      ( 2,  1, -2.0)
      ( 2,  4, -3.0)
      ( 2,  6, 2.0)
      ( 3,  2, 1.0)
      ( 3,  4, -2.0)
      ( 4,  0, 3.0)
      ( 4,  6, 3.0)
      ( 0,  1, -2.0)
      ( 0,  3, 1.0) } |E|=11
---------------- 

** G2: |V|=7
(u, v, weight) E = { 
      ( 3,  2, -1.0)
      ( 1,  3, 4.0)
      ( 1,  2, -2.0)
      ( 2,  4, 3.0)
      ( 2,  6, 2.0)
      ( 0,  2, 1.0)
      ( 0,  4, -2.0)
      ( 4,  5, 2.0)
      ( 4,  6, 3.0)
      ( 5,  1, -2.0)
      ( 5,  0, 1.0) } |E|=11
---------------- 

** G3: |V|=7
(u, v, weight) E = {  
      ( 3,  2, -1.0)
      ( 1,  3, 4.0)
      ( 1,  2, -4.0)  
      ( 2,  4, 3.0)
      ( 2,  6, 2.0)
      ( 0,  2, 1.0)
      ( 0,  4, -2.0)
      ( 4,  5, 2.0)
      ( 4,  6, 3.0)
      ( 5,  1, -2.0)
      ( 5,  0, 1.0) } |E|=11
---------------- 

** G4: |V|=15
(u, v, weight) E = { 
      ( 0,  5, 74.145)
      ( 0,  6,  3.360)
      ( 0,  7, 87.235)
      ( 0,  9, 68.196)
      ( 0, 10, 31.610)
      ( 0, 11, 74.257)
      ( 1,  2, 41.726)
      ( 1,  6, 30.040)
      ( 1,  8, 16.273)
      ( 2,  0, 20.308)
      ( 2,  8, 34.011)
      ( 2, 11, -17.485)
      ( 3,  2, 89.840)
      ( 3,  6, 10.632)
      ( 3,  7, 52.295)
      ( 3,  8, 59.918)
      ( 4,  3, -6.543)
      ( 4,  7, 34.117)
      ( 4, 14, -7.236)
      ( 5,  2, 95.209)
      ( 5,  4, 14.224)
      ( 5, 11,  6.006)
      ( 6,  0, 86.701)
      ( 6,  1, 37.500)
      ( 6,  3, 25.540)
      ( 6,  7, 92.064)
      ( 6,  8, 93.464)
      ( 6, 11, 68.465)
      ( 7,  0, 75.388)
      ( 7,  8, 71.554)
      ( 7,  9, 50.374)
      ( 8,  0, 60.929)
      ( 8,  2, 14.110)
      ( 8,  4, 41.848)
      ( 8,  9,  4.363)
      ( 9,  8, 79.230)
      ( 9, 13, 50.499)
      (10,  7, -8.351)
      (10,  8, 80.916)
      (10,  9, 59.027)
      (10, 13, -9.045)
      (11,  0, 67.298)
      (11,  2, 70.623)
      (11,  4, 39.387)
      (12, 13, -9.127)
      (12,  5, 16.479)
      (13,  1, 36.400)
      (13, 11, 57.670)
      (13, 12, 10.455)
      (14,  5, 80.883)
      (14,  7, 91.256) } |E|=51 
---------------- 

** G5: |V|=15
(u, v, weight) E = { 
      ( 0,  8, 17.916)
      ( 1,  0, 63.743)
      ( 1,  4,  8.720)
      ( 1,  8,  8.855)
      ( 1, 10, 43.500)
      ( 1, 14, 86.570)
      ( 2,  0,  2.896)
      ( 2,  5, 31.622)
      ( 2, 11, 53.928)
      ( 2, 12, 57.257)
      ( 3,  1,  9.480)
      ( 3,  5, 16.833)
      ( 3,  8, 70.610)
      ( 3, 10, 85.185)
      ( 4,  5, 53.405)
      ( 4,  8, 89.697)
      ( 4, 10, -1.089)
      ( 4, 14, 54.236)
      ( 5,  2, 79.766)
      ( 5,  3, 27.147)
      ( 5,  4, 26.352)
      ( 5, 10, -8.752)
      ( 6,  2,  7.103)
      ( 6,  7,  0.127)
      ( 6, 13, 46.530)
      ( 7,  1, 15.147)
      ( 7,  2,  7.922)
      ( 7,  3, 28.012)
      ( 7,  5, 64.483)
      ( 7, 12, 47.717)
      ( 7, 13, 59.374)
      ( 8,  1, 73.901)
      ( 8,  4, 79.082)
      ( 8,  9, 87.945)
      ( 8, 10, 63.683)
      ( 8, 13, 50.111)
      ( 8, 14, -4.056)
      ( 9,  3, 74.893)
      ( 9,  8, 79.779)
      ( 9, 10, 80.620)
      ( 9, 12, 72.836)
      (10,  5, 69.161)
      (10,  9, 46.343)
      (10, 14, 28.513)
      (11,  5, 23.015)
      (11,  9, 15.961)
      (11, 12, -16.489)
      (12,  0, 14.988)
      (12,  1, 65.574)
      (12,  2, 71.796)
      (13,  1, 55.901)
      (13,  2, 48.510)
      (13,  6, 33.601)
      (13, 14, 72.944)
      (14,  1, 72.220)
      (14,  4, 17.856) } |E|=56 
---------------- 

** G6: |V|=20
(u, v, weight) E = { 
      ( 0,  6, 75.097)
      ( 0,  7,  4.428)
      ( 0, 18, 55.122)
      ( 0, 19, 76.448)
      ( 1,  2, 73.602)
      ( 1,  5,  7.629)
      ( 2,  1,  5.335)
      ( 2,  7, 25.937)
      ( 2,  9, 29.801)
      ( 2, 11, 22.871)
      ( 2, 16, 51.972)
      ( 2, 19, -10.152)
      ( 3,  2, 90.321)
      ( 3,  7, 34.883)
      ( 3, 11,  6.992)
      ( 3, 13, 71.418)
      ( 3, 16, 30.209)
      ( 3, 17, 18.751)
      ( 3, 18, 60.400)
      ( 4,  0, 30.469)
      ( 4,  1,  5.654)
      ( 4,  3, 70.848)
      ( 5,  1, -2.380)
      ( 5,  2, 84.196)
      ( 5,  3, 28.328)
      ( 5,  6,  7.162)
      ( 5,  7, 85.108)
      ( 5, 10, 79.272)
      ( 5, 12, 55.710)
      ( 5, 15,  1.291)
      ( 6,  3, 81.494)
      ( 6,  7, 28.972)
      ( 6, 10, -1.508)
      ( 6, 15, 14.024)
      ( 7,  5,  9.270)
      ( 7,  8, 44.882)
      ( 7, 12, 66.458)
      ( 7, 15, 58.534)
      ( 7, 18, 79.735)
      ( 8,  1, -4.463)
      ( 8,  6, 83.271)
      ( 8, 13, 12.671)
      ( 8, 14, 40.791)
      ( 8, 15,  5.127)
      ( 8, 16, 86.218)
      ( 8, 19, 50.149)
      ( 9,  0, 26.039)
      ( 9,  1, -3.384)
      ( 9,  7, 62.770)
      ( 9, 10, 58.277)
      ( 9, 12, 77.327)
      ( 9, 16, -0.577)
      (10,  3,  9.210)
      (10,  6, 20.017)
      (10, 14, 17.869)
      (10, 15, -1.746)
      (11,  2, 84.492)
      (11,  7, -5.018)
      (11, 12, 19.266)
      (11, 15, 84.876)
      (12,  1, 40.713)
      (12,  2, 37.853)
      (12,  3, 58.961)
      (12,  4, 25.621)
      (13,  1,  9.649)
      (13,  4, 12.215)
      (13,  8, 56.672)
      (13,  9, 92.464)
      (13, 18, 89.019)
      (14,  1, 16.516)
      (14,  6, 67.362)
      (14,  9, 99.134)
      (14, 11, 92.686)
      (15,  0, -10.770)
      (15,  1, 34.457)
      (15,  2, -0.076)
      (15,  7, 71.551)
      (15,  8, 91.705)
      (15, 14, 11.667)
      (15, 19,  6.597)
      (16,  1, 61.710)
      (16,  6, 87.767)
      (16,  7, 58.645)
      (16,  9, 89.744)
      (17,  3, 48.324)
      (17,  6, 44.371)
      (17,  9, -17.105)
      (17, 14, 88.350)
      (17, 16,  5.181)
      (18,  2, 26.687)
      (18,  4, 62.311)
      (18,  5,  2.118)
      (18,  7, 60.630)
      (18, 10, 71.013)
      (18, 19, 21.963)
      (19,  0, 28.127)
      (19,  6,  4.338)
      (19, 16, 79.017) } |E|=98 
---------------- 

** G7: |V|=20
(u, v, weight) E = { 
      ( 0,  1, 87.115)
      ( 0,  2,  5.911)
      ( 0,  7, 57.934)
      ( 0, 13, 17.577)
      ( 1,  2, 17.292)
      ( 1,  8, -11.575)
      ( 1, 12, 13.560)
      ( 1, 14, 84.142)
      ( 1, 16, -7.313)
      ( 1, 17, 35.662)
      ( 1, 18, 70.408)
      ( 2,  6, 31.183)
      ( 2,  8, -1.312)
      ( 2, 12, 52.433)
      ( 3,  6,  8.198)
      ( 3,  8, 60.222)
      ( 3,  9, 61.044)
      ( 3, 13,  7.063)
      ( 3, 15, 22.850)
      ( 3, 18, 53.251)
      ( 4,  1, 70.982)
      ( 5,  0, 12.862)
      ( 5,  4, 56.993)
      ( 5,  6, 84.442)
      ( 5,  8, 21.750)
      ( 5, 10, 40.803)
      ( 5, 15, -7.371)
      ( 5, 18, 67.299)
      ( 6,  3, 76.738)
      ( 6,  7, 20.072)
      ( 6, 12, 82.354)
      ( 6, 13, 57.017)
      ( 6, 15, 87.714)
      ( 7,  2, 33.508)
      ( 7,  3, 62.337)
      ( 7, 10, 29.148)
      ( 7, 11, 30.273)
      ( 7, 12, 53.969)
      ( 7, 13, 30.791)
      ( 7, 15, 85.453)
      ( 7, 16, 22.872)
      ( 7, 19, -0.892)
      ( 8,  4, 23.783)
      ( 8,  6, -2.126)
      ( 8,  9, 33.848)
      ( 8, 10, 31.744)
      ( 8, 13,  0.280)
      ( 8, 14, 54.396)
      ( 8, 15, 83.949)
      ( 8, 19, 56.118)
      ( 9,  0, 25.231)
      ( 9,  3, 44.619)
      ( 9, 10, 54.540)
      ( 9, 14, 12.759)
      ( 9, 15, 63.652)
      ( 9, 19, 67.279)
      (10,  2, 40.336)
      (10,  3, 50.298)
      (10, 18, 49.720)
      (11,  3, 86.727)
      (11,  6, 38.896)
      (11,  7, 27.150)
      (11,  9, -4.862)
      (11, 15, 14.524)
      (11, 16, 83.136)
      (11, 18, 11.319)
      (12,  4,  2.742)
      (12, 11, 88.339)
      (12, 14, -9.560)
      (12, 16, 48.061)
      (13,  1, 32.797)
      (13,  2, 69.230)
      (13,  3, 11.508)
      (13,  7,  9.505)
      (13, 15, 79.032)
      (14,  0, 55.468)
      (14,  2, 18.533)
      (14,  4, 75.406)
      (14,  7, 63.457)
      (14, 15, 26.447)
      (14, 18, -7.050)
      (14, 19, 11.577)
      (15,  1, 21.178)
      (15,  6, 63.478)
      (15,  7, 24.053)
      (15,  9, 21.410)
      (15, 10, 39.046)
      (16,  4, 51.564)
      (16,  5, -9.439)
      (16,  9, 10.867)
      (16, 11, 50.616)
      (16, 13, 81.593)
      (16, 18, 75.431)
      (17,  8, 39.584)
      (17,  9, 46.716)
      (17, 12,  0.840)
      (18,  5, 61.819)
      (18, 10, 46.375)
      (18, 13,  5.437)
      (18, 16, 74.888)
      (19,  5, -1.747)
      (19,  6, -7.813)
      (19,  7, 18.956)
      (19,  9, -7.798)
      (19, 10, 55.859)
      (19, 13, 20.477)
      (19, 18, 68.564) } |E|=107 
---------------- 

** G8: |V|=25
(u, v, weight) E = { 
      ( 0,  3,  1.875)
      ( 0,  6, 41.976)
      ( 0, 20, 45.805)
      ( 0, 21, 66.675)
      ( 1, 12, 40.303)
      ( 1, 14, 89.410)
      ( 1, 19, 36.096)
      ( 1, 22, 87.194)
      ( 1, 23, 32.949)
      ( 2, 13, 22.893)
      ( 2, 17, 64.918)
      ( 2, 21, 72.157)
      ( 2, 22, 70.414)
      ( 2, 23, 86.671)
      ( 2, 24, 75.404)
      ( 3,  5, -10.391)
      ( 3, 16,  4.081)
      ( 3, 18, 28.722)
      ( 3, 23,  4.158)
      ( 3, 24, 45.726)
      ( 4, 14, 91.398)
      ( 4, 17, 32.754)
      ( 4, 21,  0.465)
      ( 4, 24,  9.458)
      ( 5,  2, 64.924)
      ( 5,  9, 55.283)
      ( 5, 18, 33.400)
      ( 5, 21, 58.511)
      ( 5, 23,  0.457)
      ( 5, 24, 38.960)
      ( 6,  1, -11.126)
      ( 6, 18, 73.740)
      ( 6, 21, 82.151)
      ( 6, 24, 67.758)
      ( 7,  6, 21.575)
      ( 7,  8, 21.921)
      ( 7, 13, 33.515)
      ( 7, 17, 47.682)
      ( 7, 19, 84.462)
      ( 7, 20, 67.644)
      ( 8,  4, 26.997)
      ( 8,  6, 26.748)
      ( 8, 10, 54.336)
      ( 8, 11, 16.035)
      ( 8, 13,  5.780)
      ( 8, 15, 86.866)
      ( 9, 12, 86.090)
      ( 9, 15, 19.240)
      ( 9, 21, 64.677)
      ( 9, 24, 38.291)
      (10,  9, 88.571)
      (10, 12, 63.969)
      (10, 15,  1.562)
      (10, 20, 50.071)
      (11,  1,  3.024)
      (11, 14, 60.212)
      (11, 17, -10.626)
      (11, 18, 58.157)
      (12,  3, -7.006)
      (12,  4, 69.393)
      (12,  6, 60.035)
      (12, 14, 53.758)
      (13,  4, 57.247)
      (13,  6, 73.337)
      (13, 16,  2.751)
      (14, 12, 41.349)
      (14, 17, 24.875)
      (14, 18, 13.387)
      (14, 22, -0.149)
      (14, 24, 68.136)
      (15,  3, 14.676)
      (15,  7, 74.894)
      (15, 12, 47.802)
      (15, 14, 80.919)
      (15, 20, 16.097)
      (16,  0, 72.515)
      (16,  4, 75.494)
      (16,  5, 38.371)
      (16,  7, -1.009)
      (16,  8, 14.823)
      (16, 11, 36.490)
      (16, 17, 44.207)
      (16, 23, 38.741)
      (17,  0, -14.351)
      (17,  2, 61.377)
      (17,  4, 82.658)
      (17,  5, 55.349)
      (17,  6,  0.609)
      (17,  8, -3.290)
      (17, 10, 21.484)
      (17, 13,  7.439)
      (17, 14, 74.610)
      (17, 21, 14.441)
      (17, 22, -17.317)
